DATE,NUMBER,CUSTOMER,CODE,DESCRIPTION,QTY,CUS NO
2022-10-13,CRM#1433,DENTO ELECTRICALS-BUD,V15G-TPCPM,TELEPHONE + COMPUTER SOCKET - GOLD,8,70
2022-10-13,CRM#1433,DENTO ELECTRICALS-BUD,V15G-HBS,HUMEN BODY SENSOR SWITCH GOLD,13,70
2022-10-13,CRM#1433,DENTO ELECTRICALS-BUD,V15G-SWCL,3W STAIRWAY BRUSHED COOL - GOLD,9,70
2022-10-13,CRM#1433,DENTO ELECTRICALS-BUD,V15G-SWWL,3W STAIRWAY BRUSHED WARM - GOLD,17,70
2022-10-13,CRM#1433,DENTO ELECTRICALS-BUD,V15G-SWSW,3W STAIRWAY WITH SENSER WARM - GOLD,10,70
2022-10-13,CRM#1433,DENTO ELECTRICALS-BUD,V15W-FCS,FAN SPEED 500W PEARL,21,70
2022-10-13,CRM#1433,DENTO ELECTRICALS-BUD,V15W-SLSC,SATELLITE SOCKET PEARL,16,70
2022-10-13,CRM#1433,DENTO ELECTRICALS-BUD,V15W-SLSC,SATELLITE SOCKET PEARL,8,70
2022-10-13,CRM#1433,DENTO ELECTRICALS-BUD,V15G-TPCPM,TELEPHONE + COMPUTER SOCKET - GOLD,3,70
2022-10-13,CRM#1433,DENTO ELECTRICALS-BUD,V15G-13NSC,13A SWITCHED SOCKET WITH NEON SP GOLD,1,70
2022-10-13,CRM#1433,DENTO ELECTRICALS-BUD,V15G-1G2W,1 GANG 2 WAY GOLD,1,70
2022-10-13,CRM#1433,DENTO ELECTRICALS-BUD,V15W-4G1W,4 GANG 1 WAY PEARL,1,70
2022-10-13,CRM#1433,DENTO ELECTRICALS-BUD,V15W-2G2W,2 GANG 2 WAY PEARL,1,70
2022-10-13,CRM#1434,DIRECT SALE,V15B-13NSC,13A SWITCHED SOCKET WITH NEON SP BLACK,3,327
,,,,,,
