STOCK BALANCE DETAILS AS AT 2-11-2022,,,,,,
#,Product,Code,Category,quanity,Unit Price,New Price
122,SWITCH PC  PART  - GOLD,1009,RM,0,0.00,
123,NEON LAMP PART,1010,RM,0,0.00,
124,SHUTTER,1011,RM,0,0.00,
125,SHUTTER SPRING,1012,RM,0,0.00,
126,PUSH BUTTON,1013,RM,0,0.00,
127,PUSH BUTTON SPRING,1014,RM,0,0.00,
128,V-7 PLATE,1015,RM,0,0.00,
129,NEON COVER,1016,RM,0,0.00,
130,COVER PLATE - GOLD,1017,RM,0,0.00,
131,COVER PLATE - PEARL,1018,RM,0,0.00,
132,FIXING SCREWS,1019,RM,0,0.00,
133,SANK BOX  - 2-WAY,2W-SANK-,SANK BOX,947,44.93,120.00
134,SANK BOX  - 4-WAY,4W-SANK-,SANK BOX,478,31.45,105.00
