DATE,NUMBER,CUSTOMER,CODE,DESCRIPTION,QTY
2022-09-29,CRM#1431,DESHAN TRADE CENTER-KUS,V15G-13NSC,13A SWITCHED SOCKET WITH NEON SP GOLD,1
2022-09-29,CRM#1431,DESHAN TRADE CENTER-KUS,V15G-3G1W,3 GANG 1 WAY GOLD,1
2022-09-29,CRM#1431,DESHAN TRADE CENTER-KUS,V15G-1G2W,1 GANG 2 WAY GOLD,1
2022-09-29,CRM#1431,DESHAN TRADE CENTER-KUS,V15G-TPSC,TELEPHONE SOCKET GOLD,1
2022-09-29,CRM#1431,DESHAN TRADE CENTER-KUS,V15G-DNDS,"DOORBELL SWITCH ""DONT DISTURB"" - GOLD",1
2022-09-29,CRM#1431,DESHAN TRADE CENTER-KUS,V15W-SWSW,3W STAIRWAY WITH SENSER WARM - PEARL,1
2022-10-07,CRM#1432,DENTO ELECTRICALS-BUD,V15W-13USC,13A SWITCHED SOCKET WITH NEON +USB PEARL,24
2022-10-13,CRM#1433,DENTO ELECTRICALS-BUD,V15G-1G1W,1 GANG 1 WAY GOLD,48
2022-10-13,CRM#1433,DENTO ELECTRICALS-BUD,V15G-2G1W,2 GANG 1 WAY GOLD,46
2022-10-13,CRM#1433,DENTO ELECTRICALS-BUD,V15G-3G1W,3 GANG 1 WAY GOLD,59
2022-10-13,CRM#1433,DENTO ELECTRICALS-BUD,V15G-4G1W,4 GANG 1 WAY GOLD,35
2022-10-13,CRM#1433,DENTO ELECTRICALS-BUD,V15G-1G2W,1 GANG 2 WAY GOLD,28
2022-10-13,CRM#1433,DENTO ELECTRICALS-BUD,V15G-2G2W,2 GANG 2 WAY GOLD,35
2022-10-13,CRM#1433,DENTO ELECTRICALS-BUD,V15G-3G2W,3 GANG 2 WAY GOLD,23
2022-10-13,CRM#1433,DENTO ELECTRICALS-BUD,V15G-4G2W,4 GANG 2 WAY GOLD,34
2022-10-13,CRM#1433,DENTO ELECTRICALS-BUD,V15G-13USC,13A SWITCHED SOCKET WITH NEON +USB GOLD,48
2022-10-13,CRM#1433,DENTO ELECTRICALS-BUD,V15G-BP,BLANK PLATE GOLD,12
2022-10-13,CRM#1433,DENTO ELECTRICALS-BUD,V15G-LDS,LIGHT DIMMER 500W GOLD,2
2022-10-13,CRM#1433,DENTO ELECTRICALS-BUD,V15G-TPSC,TELEPHONE SOCKET GOLD,19
2022-10-13,CRM#1433,DENTO ELECTRICALS-BUD,V15G-TVSC,TV SOCKET GOLD,8
2022-10-13,CRM#1433,DENTO ELECTRICALS-BUD,V15G-SLSC,SATELLITE SOCKET GOLD,5
2022-10-13,CRM#1433,DENTO ELECTRICALS-BUD,V15G-CSC,COMPUTER SOCKET GOLD,14
2022-10-13,CRM#1433,DENTO ELECTRICALS-BUD,V15G-TPCPM,TELEPHONE + COMPUTER SOCKET - GOLD,8
2022-10-13,CRM#1433,DENTO ELECTRICALS-BUD,V15G-HBS,HUMEN BODY SENSOR SWITCH GOLD,13
2022-10-13,CRM#1433,DENTO ELECTRICALS-BUD,V15G-SWCL,3W STAIRWAY BRUSHED COOL - GOLD,9
2022-10-13,CRM#1433,DENTO ELECTRICALS-BUD,V15G-SWWL,3W STAIRWAY BRUSHED WARM - GOLD,17
2022-10-13,CRM#1433,DENTO ELECTRICALS-BUD,V15G-SWSW,3W STAIRWAY WITH SENSER WARM - GOLD,10
2022-10-13,CRM#1433,DENTO ELECTRICALS-BUD,V15W-FCS,FAN SPEED 500W PEARL,21
2022-10-13,CRM#1433,DENTO ELECTRICALS-BUD,V15W-SLSC,SATELLITE SOCKET PEARL,16
2022-10-13,CRM#1433,DENTO ELECTRICALS-BUD,V15W-SLSC,SATELLITE SOCKET PEARL,8
2022-10-13,CRM#1433,DENTO ELECTRICALS-BUD,V15G-TPCPM,TELEPHONE + COMPUTER SOCKET - GOLD,3
2022-10-13,CRM#1433,DENTO ELECTRICALS-BUD,V15G-13NSC,13A SWITCHED SOCKET WITH NEON SP GOLD,1
2022-10-13,CRM#1433,DENTO ELECTRICALS-BUD,V15G-1G2W,1 GANG 2 WAY GOLD,1
2022-10-13,CRM#1433,DENTO ELECTRICALS-BUD,V15W-4G1W,4 GANG 1 WAY PEARL,1
2022-10-13,CRM#1433,DENTO ELECTRICALS-BUD,V15W-2G2W,2 GANG 2 WAY PEARL,1
2022-10-13,CRM#1434,DIRECT SALE,V15B-13NSC,13A SWITCHED SOCKET WITH NEON SP BLACK,3
,,,,,
