STOCK BALANCE DETAILS AS AT 31-03-2023,,,,,,,
#,Product,Code,Category,quanity,Unit Price,New Price,
79,TV SOCKET GOLD,V15G-TVSC,V15 modular series,600,0.00,2050.00,
80,VOICE COTROL SWITCH GOLD,V15G-VCS,V15 modular series,22,0.00,2980.00,
81,13A SWITCHED SOCKET WITH NEON SP PEARL,V15W-13NSC,V15 modular series,1951,0.00,1730.00,
82,13A SWITCHED SOCKET -SP-PERAL,V15W-13SSC,V15 modular series,93,0.00,1540.00,
83,13A SWITCHED SOCKET WITH NEON +USB PEARL,V15W-13USC,V15 modular series,201,0.00,2700.00,
84,1 GANG 1 WAY  PEARL,V15W-1G1W,V15 modular series,1701,0.00,690.00,
85,1 GANG 2 WAY  PEARL,V15W-1G2W,V15 modular series,908,0.00,980.00,
86,1 GAN 3 WAY WHITE - INTERMIDIATE,V15W-1G3W,V15 modular series,626,0.00,3540.00,
87,20A SWITCH WITH NEON PEARL,V15W-20NS,V15 modular series,415,0.00,2700.00,
88,2 GANG 1 WAY  PEARL,V15W-2G1W,V15 modular series,2031,0.00,1060.00,
89,2 GANG 2 WAY PEARL,V15W-2G2W,V15 modular series,739,0.00,1200.00,
90,3 GANG 1 WAY PEARL,V15W-3G1W,V15 modular series,1920,0.00,1340.00,
91,3 GANG 2 WAY PEARL,V15W-3G2W,V15 modular series,836,0.00,1520.00,
92,4 GANG 1 WAY PEARL,V15W-4G1W,V15 modular series,2265,0.00,1650.00,
93,4 GANG 2 WAY PEARL,V15W-4G2W,V15 modular series,1079,0.00,1860.00,
94,BLANK PLATE PEARL,V15W-BP,V15 modular series,899,0.00,610.00,
95,COMPUTER SOCKET PEARL,V15W-CSC,V15 modular series,401,0.00,2140.00,
96,DOORBELL SWITCH PEARL,V15W-DBS,V15 modular series,1087,0.00,1060.00,
97,"DOORBELL SWITCH ""DONT DISTURB"" - PEARL",V15W-DNDS,V15 modular series,131,0.00,2980.00,
98,FAN SPEED 500W PEARL,V15W-FCS,V15 modular series,1337,0.00,2790.00,
99,HUMEN BODY SENSOR SWITCH PEARL,V15W-HBS,V15 modular series,183,0.00,3450.00,
100,40A KEY CARD - PEARL,V15W-KCS,V15 modular series,104,0.00,4790.00,
101,LIGHT DIMMER 500W PEARL,V15W-LDS,V15 modular series,785,0.00,2330.00,
102,13+ PIN MF SWITCHED SOCKET WITH NEON PEARL,V15W-MFSC,V15 modular series,4606,0.00,2140.00,
103,SHAVER 3X3 PEARL,V15W-SHV,V15 modular series,174,0.00,5800.00,
104,SATELLITE SOCKET PEARL,V15W-SLSC,V15 modular series,642,0.00,2050.00,
105,3W STAIRWAY BRUSHED COOL - PEARL,V15W-SWCL,V15 modular series,286,0.00,1770.00,
106,3W STAIRWAY WITH SENSER WARM - PEARL,V15W-SWSW,V15 modular series,359,0.00,2700.00,
