,"Back-dated Inventory Valuatuon Report
Valuation as of 01/09/2022 ",LOCATION,,
V15W-TPSC,TELEPHONE SOCKET PEARL,471,593,1960.00
V15W-TVSC,TV SOCKET PEARL,366,546,1960.00
V15W-KCS,40A KEY CARD - PEARL,3,1,4790.00
V15W-DNDS,"DOORBELL SWITCH ""DONT DISTURB"" - PEARL",140,141,2980.00
V15W-SWWL,3W STAIRWAY BRUSHED WARM - PEARL,757,239,1770.00
V15W-SWCL,3W STAIRWAY BRUSHED COOL - PEARL,320,311,1770.00
V15W-SWSW,3W STAIRWAY WITH SENSER WARM - PEARL,142,342,2700.00
V15W-TPCOM,TELEPHONE + COMPUTER SOCKET - PEARL,72,270,2330.00
V15W-13SSC,13A SWITCHED SOCKET -SP-PERAL,"1,518",22,1540.00
H60W-13NSC,13A SWITCHED SOCKET WITH NEON SP WHITE - H60,34,4,1.00
V15W-1G3W,1 GAN 3 WAY WHITE - INTERMIDIATE,340,645,3540.00
,,,,
,,,,
ITEM CODE,DESCRIPTION  - 1-9-2022,QTY,system -qty,PRICE
4W-SANK,SANK BOX  - 4-WAY,"24,141",991,105.00
2W-SANK,SANK BOX  - 2-WAY,"2,785","1,715",120.00
1020,FAN CONTORAL MACHINE 5 - STAPS,,"1,327",1.00
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
